"","Trials.thisN","condition","blurr_confirm.rt","Press","Whenpress","Curiosity.response","Confidence.response","Surprise.response","ParticipantID","normal_confidence","normal_curiosity","normal_surprise"
"201",16,1,0.920966436062,1,7,1,7,1,8,-0.0261792150909104,-0.537082021547221,-0.582020858545641
"209",17,1,0.208703167432,1,2,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"212",18,4,0.896868681077,1,2,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"215",19,1,0.000632148362456,1,8,1,7,2,8,-0.0261792150909104,-0.537082021547221,0.0223854176363708
"233",21,1,0,0,0,3,3,5,8,-1.31134068319015,0.870802889304717,1.83560424618241
"255",23,1,0.597657023332,1,15,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"271",24,1,0,0,0,3,4,1,8,-0.990050316165338,0.870802889304717,-0.582020858545641
"287",25,1,0.285825608972,1,8,3,4,3,8,-0.990050316165338,0.870802889304717,0.626791693818383
"2961",26,1,0.707045655311,1,13,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"310",27,1,0,0,0,6,0,6,8,-2.27521178426458,2.98263025558262,2.44001052236442
"336",29,1,0.280790950038,1,11,2,5,2,8,-0.668759949140529,0.166860433878748,0.0223854176363708
"348",30,5,0.671412216711,1,2,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"370",33,1,0.901643244409,1,1,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"372",34,1,0.782809592271,1,15,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"388",35,1,0.129841293897,1,9,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"398",36,1,0.872078703154,1,7,1,9,2,8,0.616401518958708,-0.537082021547221,0.0223854176363708
"406",37,1,0.257432521917,1,15,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"431",39,1,0,0,0,4,0,2,8,-2.27521178426458,1.57474534473069,0.0223854176363708
"454",41,1,0.401025090692,1,15,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"470",42,1,0.838353656289,1,1,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"485",44,1,0.203602289934,1,8,1,7,1,8,-0.0261792150909104,-0.537082021547221,-0.582020858545641
"523",49,1,0.907846968214,1,15,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"539",50,1,0.924092703261,1,10,2,5,2,8,-0.668759949140529,0.166860433878748,0.0223854176363708
"562",53,1,0,0,0,3,2,4,8,-1.63263105021496,0.870802889304717,1.2311979700004
"578",54,1,0.574467896284,1,2,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"581",55,1,0.045762489709,1,2,3,5,1,8,-0.668759949140529,0.870802889304717,-0.582020858545641
"584",56,1,0.238679356055,1,8,1,9,5,8,0.616401518958708,-0.537082021547221,1.83560424618241
"593",57,1,0.179620929436,1,9,2,5,6,8,-0.668759949140529,0.166860433878748,2.44001052236442
"603",58,1,0.625818686742,1,2,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"606",59,1,0.199874935659,1,2,1,8,6,8,0.295111151933899,-0.537082021547221,2.44001052236442
"620",61,1,0.130142008102,1,8,3,5,5,8,-0.668759949140529,0.870802889304717,1.83560424618241
"629",62,1,0.809331492866,1,13,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"643",63,1,0,0,0,5,1,6,8,-1.95392141723977,2.27868780015665,2.44001052236442
"659",64,1,0.963484898753,1,5,1,8,3,8,0.295111151933899,-0.537082021547221,0.626791693818383
"665",65,1,0.580614958842,1,2,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"673",67,10,0.611116458658,1,2,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"676",68,10,0.863369596531,1,8,1,8,3,8,0.295111151933899,-0.537082021547221,0.626791693818383
"685",69,1,0.851642083878,1,2,2,5,3,8,-0.668759949140529,0.166860433878748,0.626791693818383
"701",71,1,0,0,0,6,0,5,8,-2.27521178426458,2.98263025558262,1.83560424618241
"7291",73,1,0.316081007833,1,12,2,5,3,8,-0.668759949140529,0.166860433878748,0.626791693818383
"742",74,1,0.210691089712,1,10,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"753",75,6,0.848780349607,1,3,2,5,2,8,-0.668759949140529,0.166860433878748,0.0223854176363708
"767",77,1,0.248937772299,1,2,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"770",78,1,0.172314017993,1,2,1,9,6,8,0.616401518958708,-0.537082021547221,2.44001052236442
"773",79,1,0.704231024967,1,3,1,9,2,8,0.616401518958708,-0.537082021547221,0.0223854176363708
"783",81,1,0,0,0,6,1,5,8,-1.95392141723977,2.98263025558262,1.83560424618241
"799",82,1,0.774170117541,1,9,3,4,6,8,-0.990050316165338,0.870802889304717,2.44001052236442
"809",83,7,0.301869957661,1,2,3,5,2,8,-0.668759949140529,0.870802889304717,0.0223854176363708
"812",84,8,0.841540339394,1,1,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"814",85,1,0.632746377434,1,10,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"825",86,1,0.388569515158,1,2,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"828",87,1,0.690063665395,1,8,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"8371",88,1,0.032075044066,1,3,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"847",90,1,0,0,0,6,1,6,8,-1.95392141723977,2.98263025558262,2.44001052236442
"863",91,1,0,0,0,5,0,6,8,-2.27521178426458,2.27868780015665,2.44001052236442
"879",92,1,0,0,0,6,0,6,8,-2.27521178426458,2.98263025558262,2.44001052236442
"895",93,1,0.157777677654,1,5,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"901",94,4,0.442758487922,1,2,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"904",95,9,0.255376674408,1,3,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"908",96,1,0.449632930698,1,10,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
